cbsa,count_SELF,sum_SELF,share_SELF,count_INC,sum_INC,share_INC,count_entrep,sum_entrep,share_entrep,count_ba,sum_ba,share_ba
"Paris, TN",,,,,,,90.0,6.0,0.06666666666666667,,,
"Paris, TX",,,,,,,157.0,18.0,0.11464968152866242,,,
"Parsons, KS",,,,,,,54.0,5.0,0.09259259259259259,,,
"Payson, AZ",,,,,,,132.0,17.0,0.12878787878787878,,,
"Pearsall, TX",,,,,,,21.0,2.0,0.09523809523809523,,,
"Pecos, TX",,,,,,,44.0,4.0,0.09090909090909091,,,
"Pella, IA",,,,,,,164.0,6.0,0.036585365853658534,,,
"Peru, IN",,,,,,,77.0,4.0,0.05194805194805195,,,
"Picayune, MS",,,,,,,185.0,18.0,0.0972972972972973,,,
"Pierre, SD",,,,,,,115.0,7.0,0.06086956521739131,,,
"Pine Bluff, AR",,,,,,,300.0,11.0,0.03666666666666667,,,
"Pinehurst-Southern Pines, NC",,,,,,,558.0,54.0,0.0967741935483871,,,
"Pittsburg, KS",,,,,,,169.0,13.0,0.07692307692307693,,,
"Plainview, TX",,,,,,,84.0,5.0,0.05952380952380952,,,
"Platteville, WI",,,,,,,151.0,4.0,0.026490066225165563,,,
"Plattsburgh, NY",,,,,,,66.0,2.0,0.030303030303030304,,,
"Plymouth, IN",,,,,,,188.0,19.0,0.10106382978723404,,,
"Pocatello, ID",,,,,,,824.0,42.0,0.050970873786407765,,,
"Point Pleasant, WV-OH",,,,,,,86.0,4.0,0.046511627906976744,,,
"Ponca City, OK",,,,,,,122.0,10.0,0.08196721311475409,,,
"Pontiac, IL",,,,,,,68.0,3.0,0.04411764705882353,,,
"Poplar Bluff, MO",,,,,,,148.0,11.0,0.07432432432432433,,,
"Port Angeles, WA",,,,,,,325.0,28.0,0.08615384615384615,,,
"Port Lavaca, TX",,,,,,,55.0,4.0,0.07272727272727272,,,
"Portales, NM",,,,,,,62.0,4.0,0.06451612903225806,,,
"Portsmouth, OH",,,,,,,182.0,15.0,0.08241758241758242,,,
"Poughkeepsie-Newburgh-Middletown, NY",,,,,,,3773.0,236.0,0.06254969520275643,,,
"Prescott Valley-Prescott, AZ",,,,,,,1224.0,151.0,0.12336601307189543,,,
"Price, UT",,,,,,,74.0,6.0,0.08108108108108109,,,
"Prineville, OR",,,,,,,80.0,9.0,0.1125,,,
"Pullman, WA",,,,,,,436.0,13.0,0.02981651376146789,,,
"Quincy, IL-MO",,,,,,,327.0,12.0,0.03669724770642202,,,
"Rapid City, SD",,,,,,,84.0,5.0,0.05952380952380952,,,
"Raymondville, TX",,,,,,,20.0,1.0,0.05,,,
"Red Bluff, CA",,,,,,,423.0,31.0,0.07328605200945626,,,
"Red Wing, MN",,,,,,,219.0,20.0,0.091324200913242,,,
"Rexburg, ID",,,,,,,666.0,27.0,0.04054054054054054,,,
"Richmond, IN",,,,,,,310.0,19.0,0.06129032258064516,,,
"Richmond-Berea, KY",,,,,,,567.0,24.0,0.042328042328042326,,,
"Rio Grande City-Roma, TX",,,,,,,44.0,2.0,0.045454545454545456,,,
"Riverton, WY",,,,,,,166.0,13.0,0.0783132530120482,,,
"Roanoke Rapids, NC",,,,,,,112.0,7.0,0.0625,,,
"Rochelle, IL",,,,,,,96.0,4.0,0.041666666666666664,,,
"Rock Springs, WY",,,,,,,176.0,12.0,0.06818181818181818,,,
"Rockingham, NC",,,,,,,121.0,10.0,0.08264462809917356,,,
"Rockport, TX",,,,,,,100.0,10.0,0.1,,,
"Rolla, MO",,,,,,,299.0,17.0,0.056856187290969896,,,
"Rome, GA",,,,,,,449.0,20.0,0.044543429844097995,,,
"Roswell, NM",,,,,,,187.0,13.0,0.06951871657754011,,,
"Ruidoso, NM",,,,,,,55.0,14.0,0.2545454545454545,,,
"Russellville, AR",,,,,,,281.0,16.0,0.05693950177935943,,,
"Ruston, LA",,,,,,,297.0,15.0,0.050505050505050504,,,
"Rutland, VT",,,,,,,255.0,17.0,0.06666666666666667,,,
"Safford, AZ",,,,,,,103.0,4.0,0.038834951456310676,,,
"Salina, KS",,,,,,,319.0,15.0,0.047021943573667714,,,
"Sandpoint, ID",,,,,,,176.0,24.0,0.13636363636363635,,,
