county,state_name,csa,csa_state
Lamar County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Meriwether County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Morgan County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Newton County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Paulding County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Pickens County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Pike County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Rockdale County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Spalding County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Walton County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Atlantic County,New Jersey,Philadelphia-Reading-Camden,PA-NJ-DE-MD
Escambia County,Alabama,Pensacola-Ferry Pass,FL-AL
DeKalb County,Indiana,Fort Wayne-Huntington-Auburn,IN
DeKalb County,Indiana,Fort Wayne-Huntington-Auburn,IN
Cayuga County,New York,Syracuse-Auburn,NY
Cayuga County,New York,Syracuse-Auburn,NY
Lee County,Alabama,Columbus-Auburn-Opelika,GA-AL
Burke County,Georgia,,
Columbia County,Georgia,,
Lincoln County,Georgia,,
McDuffie County,Georgia,,
Richmond County,Georgia,,
Aiken County,South Carolina,,
Edgefield County,South Carolina,,
Kennebec County,Maine,,
Mower County,Minnesota,Rochester-Austin,MN
Bastrop County,Texas,,
Caldwell County,Texas,,
Hays County,Texas,,
Travis County,Texas,,
Williamson County,Texas,,
Decatur County,Georgia,,
Kern County,California,,
Anne Arundel County,Maryland,Washington-Baltimore-Arlington,DC-MD-VA-WV-PA
Baltimore County,Maryland,Washington-Baltimore-Arlington,DC-MD-VA-WV-PA
Carroll County,Maryland,Washington-Baltimore-Arlington,DC-MD-VA-WV-PA
Harford County,Maryland,Washington-Baltimore-Arlington,DC-MD-VA-WV-PA
Howard County,Maryland,Washington-Baltimore-Arlington,DC-MD-VA-WV-PA
Queen Anne's County,Maryland,Washington-Baltimore-Arlington,DC-MD-VA-WV-PA
Baltimore city,Maryland,Washington-Baltimore-Arlington,DC-MD-VA-WV-PA
Penobscot County,Maine,,
Sauk County,Wisconsin,Madison-Janesville-Beloit,WI
Nelson County,Kentucky,Louisville/Jefferson County--Elizabethtown--Bardstown,KY-IN
Barnstable County,Massachusetts,Boston-Worcester-Providence,MA-RI-NH-CT
Washington County,Vermont,Burlington-South Burlington-Barre,VT
Washington County,Oklahoma,Tulsa-Muskogee-Bartlesville,OK
Genesee County,New York,Rochester-Batavia-Seneca Falls,NY
Genesee County,New York,Rochester-Batavia-Seneca Falls,NY
Independence County,Arkansas,,
Sharp County,Arkansas,,
Ascension Parish,Louisiana,,
Assumption Parish,Louisiana,,
East Baton Rouge Parish,Louisiana,,
East Feliciana Parish,Louisiana,,
Iberville Parish,Louisiana,,
Livingston Parish,Louisiana,,
Pointe Coupee Parish,Louisiana,,
St. Helena Parish,Louisiana,,
West Baton Rouge Parish,Louisiana,,
West Feliciana Parish,Louisiana,,
Calhoun County,Michigan,Kalamazoo-Battle Creek-Portage,MI
Calhoun County,Michigan,Kalamazoo-Battle Creek-Portage,MI
Bay County,Michigan,Saginaw-Midland-Bay City,MI
Bay County,Michigan,Saginaw-Midland-Bay City,MI
Matagorda County,Texas,Houston-The Woodlands,TX
Gage County,Nebraska,Lincoln-Beatrice,NE
Hardin County,Texas,,
Jefferson County,Texas,,
Orange County,Texas,,
Dodge County,Wisconsin,Milwaukee-Racine-Waukesha,WI
Fayette County,West Virginia,,
Raleigh County,West Virginia,,
