met2013,csa_m13,name_met2013,name_csa_m13
36540,100420,"omaha-council bluffs, ne-ia","Omaha-Council Bluffs-Fremont, NE-IA"
36740,100422,"orlando-kissimmee-sanford, fl","Orlando-Lakeland-Deltona, FL"
36780,100118,"oshkosh-neenah, wi","Appleton-Oshkosh-Neenah, WI"
36980,36980,"owensboro, ky","Owensboro, KY"
37100,100348,"oxnard-thousand oaks-ventura, ca","Los Angeles-Long Beach, CA"
37340,37340,"palm bay-melbourne-titusville, fl","Palm Bay-Melbourne-Titusville, FL"
37460,37460,"panama city, fl","Panama City, FL"
37860,100426,"pensacola-ferry pass-brent, fl","Pensacola-Ferry Pass, FL-AL"
37900,37900,"peoria, il","Peoria, IL"
37980,100428,"philadelphia-camden-wilmington, pa-nj-de-md","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
38060,100429,"phoenix-mesa-scottsdale, az","Phoenix-Mesa, AZ"
38300,100430,"pittsburgh, pa","Pittsburgh-New Castle-Weirton, PA-OH-WV"
38340,38340,"pittsfield, ma","Pittsfield, MA"
38660,100434,"ponce, pr","Ponce-Yauco-Coamo, PR"
38860,100438,"portland-south portland, me","Portland-Lewiston-South Portland, ME"
38900,100440,"portland-vancouver-hillsboro, or-wa","Portland-Vancouver-Salem, OR-WA"
38940,100370,"port st. lucie, fl","Miami-Port St. Lucie-Fort Lauderdale, FL"
39140,39150,"prescott, az","Prescott Valley-Prescott, AZ"
39300,100148,"providence-warwick, ri-ma","Boston-Worcester-Providence, MA-RI-NH-CT"
39340,100482,"provo-orem, ut","Salt Lake City-Provo-Orem, UT"
39380,100444,"pueblo, co","Pueblo-Cañon City, CO"
39460,100412,"punta gorda, fl","North Port-Sarasota, FL"
39540,100376,"racine, wi","Milwaukee-Racine-Waukesha, WI"
39740,100428,"reading, pa","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
39820,100454,"redding, ca","Redding-Red Bluff, CA"
39900,100456,"reno, nv","Reno-Carson City-Fernley, NV"
40060,40060,"richmond, va","Richmond, VA"
40140,100348,"riverside-san bernardino-ontario, ca","Los Angeles-Long Beach, CA"
40220,40220,"roanoke, va","Roanoke, VA"
40420,100466,"rockford, il","Rockford-Freeport-Rochelle, IL"
40580,100468,"rocky mount, nc","Rocky Mount-Wilson-Roanoke Rapids, NC"
40900,100472,"sacramento--roseville--arden-arcade, ca","Sacramento-Roseville, CA"
41060,100378,"st. cloud, mn","Minneapolis-St. Paul, MN-WI"
41100,41100,"st. george, ut","St. George, UT"
41140,100312,"st. joseph, mo-ks","Kansas City-Overland Park-Kansas City, MO-KS"
41180,100476,"st. louis, mo-il","St. Louis-St. Charles-Farmington, MO-IL"
49660,100566,"youngstown-warren-boardman, oh-pa","Youngstown-Warren, OH-PA"
41500,41500,"salinas, ca","Salinas, CA"
41540,100480,"salisbury, md-de","Salisbury-Cambridge, MD-DE"
41620,100482,"salt lake city, ut","Salt Lake City-Provo-Orem, UT"
41660,41660,"san angelo, tx","San Angelo, TX"
41700,100484,"san antonio-new braunfels, tx","San Antonio-New Braunfels-Pearsall, TX"
41740,41740,"san diego-carlsbad, ca","San Diego-Chula Vista-Carlsbad, CA"
41860,100488,"san francisco-oakland-hayward, ca","San Jose-San Francisco-Oakland, CA"
41900,100364,"san germã¡n, pr","Mayagüez-San Germán, PR"
41940,100488,"san jose-sunnyvale-santa clara, ca","San Jose-San Francisco-Oakland, CA"
41980,100490,"san juan-carolina-caguas, pr","San Juan-Bayamón, PR"
42020,42020,"san luis obispo-paso robles-arroyo grande, ca","San Luis Obispo-Paso Robles, CA"
42100,100488,"santa cruz-watsonville, ca","San Jose-San Francisco-Oakland, CA"
42200,42200,"santa maria-santa barbara, ca","Santa Maria-Santa Barbara, CA"
42220,100488,"santa rosa, ca","San Jose-San Francisco-Oakland, CA"
42680,100370,"sebastian-vero beach, fl","Miami-Port St. Lucie-Fort Lauderdale, FL"
43100,43100,"sheboygan, wi","Sheboygan, WI"
43900,100273,"spartanburg, sc","Greenville-Spartanburg-Anderson, SC"
44060,100518,"spokane-spokane valley, wa","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
44100,100522,"springfield, il","Springfield-Jacksonville-Lincoln, IL"
44140,44140,"springfield, ma","Springfield, MA"
44180,44180,"springfield, mo","Springfield, MO"
44220,100212,"springfield, oh","Dayton-Springfield-Kettering, OH"
44300,100524,"state college, pa","State College-DuBois, PA"
44700,100488,"stockton-lodi, ca","San Jose-San Francisco-Oakland, CA"
44940,44940,"sumter, sc","Sumter, SC"
45220,45220,"tallahassee, fl","Tallahassee, FL"
45300,45300,"tampa-st. petersburg-clearwater, fl","Tampa-St. Petersburg-Clearwater, FL"
45460,45460,"terre haute, in","Terre Haute, IN"
45780,100534,"toledo, oh","Toledo-Findlay-Tiffin, OH"
45820,45820,"topeka, ks","Topeka, KS"
45940,100408,"trenton, nj","New York-Newark, NY-NJ-CT-PA"
46060,100536,"tucson, az","Tucson-Nogales, AZ"
46220,46220,"tuscaloosa, al","Tuscaloosa, AL"
46340,100540,"tyler, tx","Tyler-Jacksonville, TX"
46520,46520,"urban honolulu, hi","Urban Honolulu, HI"
46540,46540,"utica-rome, ny","Utica-Rome, NY"
46660,46660,"valdosta, ga","Valdosta, GA"
46700,100488,"vallejo-fairfield, ca","San Jose-San Francisco-Oakland, CA"
