city,csa_ct,name_city,name_csa_ct
742,13740,"billings, mt","Billings, MT"
1410,100192,"columbia, sc","Columbia-Orangeburg-Newberry, SC"
1430,100194,"columbus, ga","Columbus-Auburn-Opelika, GA-AL"
2270,100220,"flint, mi","Detroit-Warren-Ann Arbor, MI"
3512,30020,"lawton, ok","Lawton, OK"
6530,43620,"sioux falls, sd","Sioux Falls, SD"
7070,100538,"tulsa, ok","Tulsa-Muskogee-Bartlesville, OK"
