county,state_name,cbsa,fips,cbsa_code
Scott County,Illinois,"Jacksonville, IL",17171,27300
Onslow County,North Carolina,"Jacksonville, NC",37133,27340
Cherokee County,Texas,"Jacksonville, TX",48073,27380
Stutsman County,North Dakota,"Jamestown, ND",38093,27420
Chautauqua County,New York,"Jamestown-Dunkirk-Fredonia, NY",36013,27460
Rock County,Wisconsin,"Janesville-Beloit, WI",55105,27500
Walker County,Alabama,"Jasper, AL",1127,27530
Dubois County,Indiana,"Jasper, IN",18037,27540
Pike County,Indiana,"Jasper, IN",18125,27540
Jayuya Municipio,Puerto Rico,"Jayuya, PR",72073,27580
Jackson County,Georgia,"Jefferson, GA",13157,27600
Callaway County,Missouri,"Jefferson City, MO",29027,27620
Cole County,Missouri,"Jefferson City, MO",29051,27620
Moniteau County,Missouri,"Jefferson City, MO",29135,27620
Osage County,Missouri,"Jefferson City, MO",29151,27620
Jefferson Davis Parish,Louisiana,"Jennings, LA",22053,27660
Wayne County,Georgia,"Jesup, GA",13305,27700
Carter County,Tennessee,"Johnson City, TN",47019,27740
Unicoi County,Tennessee,"Johnson City, TN",47171,27740
Washington County,Tennessee,"Johnson City, TN",47179,27740
Cambria County,Pennsylvania,"Johnstown, PA",42021,27780
Craighead County,Arkansas,"Jonesboro, AR",5031,27860
Poinsett County,Arkansas,"Jonesboro, AR",5111,27860
Jasper County,Missouri,"Joplin, MO",29097,27900
Newton County,Missouri,"Joplin, MO",29145,27900
Juneau City and Borough,Alaska,"Juneau, AK",2110,27940
Maui County,Hawaii,"Kahului-Wailuku-Lahaina, HI",15009,27980
Kalamazoo County,Michigan,"Kalamazoo-Portage, MI",26077,28020
Flathead County,Montana,"Kalispell, MT",30029,28060
Kankakee County,Illinois,"Kankakee, IL",17091,28100
Johnson County,Kansas,"Kansas City, MO-KS",20091,28140
Leavenworth County,Kansas,"Kansas City, MO-KS",20103,28140
Linn County,Kansas,"Kansas City, MO-KS",20107,28140
Miami County,Kansas,"Kansas City, MO-KS",20121,28140
Wyandotte County,Kansas,"Kansas City, MO-KS",20209,28140
Bates County,Missouri,"Kansas City, MO-KS",29013,28140
Caldwell County,Missouri,"Kansas City, MO-KS",29025,28140
Cass County,Missouri,"Kansas City, MO-KS",29037,28140
Clay County,Missouri,"Kansas City, MO-KS",29047,28140
Clinton County,Missouri,"Kansas City, MO-KS",29049,28140
Jackson County,Missouri,"Kansas City, MO-KS",29095,28140
Lafayette County,Missouri,"Kansas City, MO-KS",29107,28140
Platte County,Missouri,"Kansas City, MO-KS",29165,28140
