county,state_name,cbsa,fips,cbsa_code
Trousdale County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",47169,34980
Williamson County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",47187,34980
Wilson County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",47189,34980
Concordia Parish,Louisiana,"Natchez, MS-LA",22029,35020
Adams County,Mississippi,"Natchez, MS-LA",28001,35020
Natchitoches Parish,Louisiana,"Natchitoches, LA",22069,35060
Craven County,North Carolina,"New Bern, NC",37049,35100
Jones County,North Carolina,"New Bern, NC",37103,35100
Pamlico County,North Carolina,"New Bern, NC",37137,35100
Newberry County,South Carolina,"Newberry, SC",45071,35140
Henry County,Indiana,"New Castle, IN",18065,35220
Lawrence County,Pennsylvania,"New Castle, PA",42073,35260
New Haven County,Connecticut,"New Haven-Milford, CT",9009,35300
Jefferson Parish,Louisiana,"New Orleans-Metairie, LA",22051,35380
Orleans Parish,Louisiana,"New Orleans-Metairie, LA",22071,35380
Plaquemines Parish,Louisiana,"New Orleans-Metairie, LA",22075,35380
St. Bernard Parish,Louisiana,"New Orleans-Metairie, LA",22087,35380
St. Charles Parish,Louisiana,"New Orleans-Metairie, LA",22089,35380
St. James Parish,Louisiana,"New Orleans-Metairie, LA",22093,35380
St. John the Baptist Parish,Louisiana,"New Orleans-Metairie, LA",22095,35380
